Store,Dept,Total_Actual_Sales,Historical_Mean_WMAE,Naive_WMAE,Seasonal_Naive_WMAE,Best_Model
23,22,326564.76,5971.3604007633585,3263.5750000000007,2464.7824999999993,Seasonal Naive
23,23,610707.1499999999,5290.635186068705,5731.533125000002,4852.191875000002,Seasonal Naive
23,24,158272.74000000002,2754.359914122137,2790.6812500000005,1609.0175000000004,Seasonal Naive
23,25,193328.19999999998,1117.9028816793893,2461.5937500000005,1198.78125,Historical Mean
23,26,179310.66,2813.428167938932,5300.9037499999995,1791.84375,Seasonal Naive
23,27,46447.95,845.0205677480915,1436.0743750000001,620.2381249999999,Seasonal Naive
23,28,12836.6,425.2552290076336,431.5000000000001,146.25874999999996,Seasonal Naive
23,29,138374.05,846.3717414122142,834.0056249999999,951.2512500000003,Naive Forecast
23,30,86229.22999999998,1685.5348043893136,2006.5343749999997,824.5987499999997,Seasonal Naive
23,31,70463.49,1466.0091937022898,1456.5456249999997,562.494375,Seasonal Naive
23,32,117456.05000000002,1799.0146421755728,1018.141875,1139.7637499999996,Naive Forecast
23,33,158670.13,2071.6065791984724,2830.833125,1534.1818749999998,Seasonal Naive
23,34,324886.09,1935.0357681297714,3273.581874999999,3556.3375000000005,Historical Mean
23,35,59144.08999999999,495.09233301526723,1873.1656249999996,733.9731250000001,Historical Mean
23,36,23477.57,2073.265863549618,882.140625,602.5537499999998,Seasonal Naive
23,38,561855.9400000001,4098.517958015265,3577.247499999999,2565.8993749999963,Seasonal Naive
23,40,796016.09,5393.0337166030495,4367.489375,4565.651250000001,Naive Forecast
23,41,22042.45,540.16294370229,468.18312499999996,504.260625,Naive Forecast
23,42,157922.55,1520.8581345419836,1539.5418750000003,386.14187500000014,Seasonal Naive
23,44,87987.59999999999,1431.843015267174,572.7924999999999,518.9299999999998,Seasonal Naive
23,45,31.410000000000004,30.355000000000008,13.47,22.11071428571429,Naive Forecast
23,46,415184.62000000005,3496.98711832061,4261.327499999998,1547.1681250000008,Seasonal Naive
23,49,323181.67,3142.4131249999996,3279.6393749999997,2352.6974999999993,Seasonal Naive
