Store,Dept,Error_Mean,Error_SD,Error_MAE,N,Shrunk_Error_SD,Safety_Stock_95
2.0,95.0,-3811.966547409953,8788.296424098378,6345.132214203339,4,6507.847478449776,10704.456528575107
2.0,96.0,-563.7394371059581,1941.2120656817663,1580.9855249735574,4,2370.4754640850365,3899.0851646997467
2.0,97.0,551.1856556890125,2483.110901817229,1974.645422957503,4,2611.1150222111473,4294.902014671479
2.0,98.0,-191.10466003620513,177.860796677939,218.66859516786462,4,1936.7031304132263,3185.5931683884655
2.0,99.0,14.722042104135472,34.66532141780705,25.41295789586453,4,1932.7707122443246,3179.1249161006576
3.0,1.0,696.6834040021934,671.67591675831,696.6834040021934,4,1990.1196075692267,3273.455454577483
3.0,2.0,-139.76576448281867,622.104458619382,413.213374268792,4,1982.04660958616,3260.176554564664
3.0,3.0,634.1184736650137,5343.500520723014,3580.165405209904,4,4243.995840165079,6980.751950462491
3.0,4.0,209.28154505233397,548.3444399731969,361.4176495614811,4,1971.1272400024545,3242.2157899008826
3.0,5.0,681.788687801688,2619.635640296357,2223.517739538366,4,2676.98472685415,4403.248037259745
3.0,6.0,136.9191077198136,972.4919471142028,661.9815772266558,4,2051.3098443326207,3374.104437451771
3.0,7.0,-235.15940987024533,886.5063084736828,710.4029057963166,4,2031.7353423457378,3341.907246862878
3.0,8.0,-187.44358326502766,380.06135315948524,339.0514797032017,4,1951.2111879388258,3209.4567994294684
3.0,9.0,828.8172677885213,292.9617880034007,828.8172677885213,4,1943.6859541783,3197.07889138481
3.0,10.0,756.4623612331552,1169.5297220677126,1133.9877865938452,4,2102.1183766036643,3457.6770360378778
3.0,11.0,41.51611082931436,532.4198672279354,378.9480986070896,4,1968.9431788054324,3238.6233289194765
3.0,12.0,49.897764327589925,109.59114901736326,87.13083083406025,4,1934.1682692636666,3181.4236928327937
3.0,13.0,51.23100690559431,792.0920078181657,556.6868203418148,4,2012.1398207579018,3309.67548210712
3.0,14.0,-262.662998587894,268.49594385079155,318.40369359165925,4,1941.9183349943164,3194.171416558965
3.0,16.0,-904.5492646993173,848.3794094309746,904.5492646993173,4,2023.5798958845583,3328.492731171798
3.0,17.0,-189.30558244612064,461.8855287385266,375.2201406972205,4,1960.018087846122,3223.942860684183
3.0,18.0,-511.82598245659034,620.4862694232143,539.3054528165906,4,1981.7929733265034,3259.7593600430414
3.0,19.0,-222.87180937359972,146.43343983827953,222.87180937359972,4,1935.3870827321261,3183.428462586967
3.0,20.0,-40.20902397140077,166.91981594640492,130.60112041734118,4,1936.216128517869,3184.792121554555
3.0,21.0,-126.3394358877677,111.4833064363205,141.3310152092775,4,1934.2223366670962,3181.512625797425
3.0,22.0,51.19576121468003,186.61320077044,137.57480613094572,4,1937.1148719696075,3186.2704229808455
3.0,23.0,219.59614918454417,674.8587510769843,529.2533533906858,4,1990.6579190829168,3274.340898223206
3.0,24.0,459.9065815465792,1879.5938477403542,1553.7482881942678,4,2345.5145064754192,3858.0280430433854
3.0,25.0,-3.0082061945020087,556.3865844108974,466.8463862700826,4,1972.2537360875112,3244.0687110721346
3.0,26.0,-333.28856861826296,457.07782933009514,466.0584349167365,4,1959.454478901587,3223.0158064675825
3.0,27.0,14.381990584888726,136.56810483294794,107.9627607476235,4,1935.0264100222937,3182.8352087720564
3.0,28.0,-51.41509918324479,62.88675558920537,51.41509918324479,4,1933.1267821509284,3179.710598977983
3.0,29.0,79.69808663725303,120.79381667064375,92.30126505483383,4,1934.5018368892454,3181.9723627515605
3.0,30.0,410.80692251130716,360.83167741322524,442.449855398548,4,1949.3849115983626,3206.4528421670416
3.0,31.0,263.513748342257,485.75636402469144,398.49923820815474,4,1962.9012727211164,3228.685277782989
3.0,32.0,-301.95651353581536,2008.9865889303155,1419.8530894754958,4,2398.5444213326273,3945.254490833192
3.0,33.0,536.1854604225018,1178.709687556844,864.8573650668341,4,2104.68050963207,3461.891369842383
3.0,34.0,176.48110582248216,303.41771804014854,307.40410337218657,4,1944.4878347948797,3198.3978676253732
3.0,35.0,-445.27084107744645,302.7534718442091,445.27084107744645,4,1944.4360663729203,3198.3127161487514
